  NIT   NF   F                       GTG
  124 1514  2.475682320167007E-01   1.39902678E+01
  125 1525  2.442449312963227E-01   4.29095476E+01
  126 1535  2.408410159776827E-01   5.10506988E+01
  127 1552  2.319738510061674E-01   1.66528829E+02
  128 1562  2.287454613367942E-01   2.20977461E+02
  129 1571  2.255279886897343E-01   7.72234122E+01
  130 1588  2.188209258245818E-01   1.23939275E+02
  131 1600  2.148300188361878E-01   3.17947836E+01
  132 1611  2.117142341074222E-01   3.71120847E+01
  133 1634  2.021330863025992E-01   4.80268581E+01
  134 1651  1.975384104623357E-01   2.28644193E+02
  135 1666  1.934909979001954E-01   2.71593116E+01
  136 1691  1.873802902691784E-01   2.36699587E+01
  137 1702  1.857896517222919E-01   3.16379390E+00
tnc: fscale = 0.50724
  138 1710  1.855716809527970E-01   2.24498833E+00
  139 1727  1.830892989087617E-01   1.05399657E+01
  140 1740  1.811637651683472E-01   6.09925872E+01
  141 1752  1.788357441416938E-01   4.05203396E+01
  142 1764  1.768979083701729E-01   6.09101237E+01
  143 1791  1.699537236856744E-01   1.85132018E+01
  144 1811  1.657514319038851E-01   1.99752841E+01
  145 1831  1.619994125101932E-01   7.10193966E+01
  146 1843  1.608114194864719E-01   3.97606857E+01
  147 1854  1.592097175286377E-01   2.95691052E+01
  148 1866  1.576286628748529E-01   7.16946229E+00
  149 1896  1.525397015357134E-01   1.71617909E+02
  150 1908  1.510437647319658E-01   3.39534182E+01
  151 1924  1.487050037644881E-01   1.31375391E+01
  152 1944  1.460465590676989E-01   2.13921539E+01
  153 1956  1.447432318978822E-01   8.31601588E+01
  154 1968  1.436833090579284E-01   9.29503840E+00
  155 1980  1.427125726832278E-01   3.00138666E+00
  156 2009  1.390366188651205E-01   1.04748230E+02
  157 2021  1.376499180096154E-01   3.65686975E+00
  158 2040  1.351877639987758E-01   8.72888264E+01
  159 2060  1.326972684656059E-01   7.18243906E+01
  160 2093  1.287851312838180E-01   3.10669632E+02
  161 2098  1.282218718646825E-01   3.02973486E+00
  162 2125  1.252625058570308E-01   5.68842833E+01
  163 2141  1.237633067755917E-01   7.08637389E+00
  164 2153  1.223225477549059E-01   1.21594631E+01
  165 2165  1.213667364032021E-01   1.75744228E+01
  166 2176  1.202236216313096E-01   2.77416946E+01
  167 2188  1.191084819867479E-01   2.86456914E+00
  168 2205  1.167717238794818E-01   1.83166569E+01
  169 2232  1.133136490678842E-01   6.00065886E+01
  170 2237  1.129891295038502E-01   1.65170029E+00
  171 2259  1.108407543618560E-01   2.28558002E+01
  172 2282  1.080472921898741E-01   5.67156373E+00
  173 2302  1.056626633480229E-01   1.56328052E+01
  174 2330  1.019656864297805E-01   4.38221463E+01
  175 2351  9.996356777945690E-02   7.53194811E+00
  176 2363  9.906841822628557E-02   1.70459172E+01
  177 2374  9.804210421759964E-02   3.34076892E+00
  178 2386  9.731276118413068E-02   2.28786264E+00
  179 2397  9.653321740046798E-02   1.03945496E+01
  180 2409  9.573352653146747E-02   3.54077548E+00
  181 2447  9.261891949961472E-02   1.00604564E+02
  182 2452  9.211802354063517E-02   4.44105150E+00
  183 2467  9.105217480705233E-02   7.10722478E+00
  184 2483  9.006388232523588E-02   6.22888033E+00
  185 2509  8.780980334015238E-02   3.28918976E+00
  186 2525  8.681281621161932E-02   3.29666913E+00
  187 2551  8.485693067504695E-02   1.73833486E+01
  188 2563  8.428485889345610E-02   4.05142936E+00
  189 2587  8.238281261130212E-02   2.53780382E+01
  190 2599  8.165776247448728E-02   2.44147076E+01
  191 2610  8.104026634149857E-02   7.37959275E+00
