  NIT   NF   F                       GTG
  535 8593  1.251247630797326E-02   4.50725855E-01
  536 8605  1.248591145103697E-02   3.55995898E-01
  537 8617  1.243854360885356E-02   1.67124293E-01
  538 8646  1.230729350933688E-02   1.70208024E-01
  539 8684  1.214242816415387E-02   8.17770532E-01
  540 8703  1.206396677642774E-02   1.52993506E+00
  541 8720  1.200091367926271E-02   1.70922310E-01
  542 8768  1.179862700728456E-02   9.81942242E-01
  543 8788  1.174193760256351E-02   2.84394682E-01
  544 8828  1.158838600579636E-02   7.29981461E-01
  545 8831  1.158321438383745E-02   3.68557216E-01
  546 8842  1.156341512729263E-02   1.55018956E-01
  547 8853  1.154706720056753E-02   2.91961710E-01
  548 8869  1.149509907252828E-02   4.04408184E-01
  549 8887  1.140597858069004E-02   2.73453820E-01
  550 8925  1.126912382977036E-02   4.21667368E-01
  551 8957  1.117480247178169E-02   1.72916534E-01
  552 8985  1.109348421917361E-02   1.66199010E-01
  553 9008  1.103436435567794E-02   1.21499618E-01
  554 9034  1.097468341348163E-02   2.42279131E-01
  555 9053  1.093170409815595E-02   1.94465632E-01
  556 9072  1.090026883969503E-02   3.75779760E-01
  557 9083  1.088509928264748E-02   2.47478030E-01
  558 9100  1.086140645666888E-02   1.30530801E-01
  559 9111  1.085001339872079E-02   3.32533278E-01
  560 9127  1.082642574158034E-02   6.55456519E-02
  561 9138  1.081607001872944E-02   1.50839849E-01
  562 9154  1.079452513536082E-02   1.34922279E-01
  563 9168  1.077939238754493E-02   1.40937938E-01
  564 9183  1.075995650733304E-02   2.44455929E-02
  565 9219  1.058663561422451E-02   9.01462650E-01
  566 9246  1.048310383264927E-02   7.70018344E-01
  567 9270  1.040515071900460E-02   1.95436326E-01
  568 9289  1.035341281608654E-02   6.83192894E-01
  569 9308  1.031367716197370E-02   1.24729346E-01
  570 9325  1.026955444330154E-02   2.75869585E-01
  571 9340  1.023996624655622E-02   3.33881593E-02
  572 9354  1.021234906158074E-02   2.01840069E-02
  573 9386  1.010760001695358E-02   1.51307558E+00
  574 9405  1.004784071402532E-02   5.47131400E-01
  575 9433  9.957093570536830E-03   1.64278871E-01
  576 9454  9.911940110415461E-03   1.29865335E-01
  577 9474  9.868310564649133E-03   4.14721751E-02
  578 9484  9.855793617339821E-03   4.69192663E-01
  579 9494  9.840987822105825E-03   4.91255440E-01
  580 9505  9.821375965126762E-03   1.43807315E-01
  581 9523  9.795621438645236E-03   2.31425238E-01
  582 9538  9.764294942172791E-03   1.70717343E-01
  583 9550  9.744635263980447E-03   1.98752631E-01
  584 9566  9.723347209009267E-03   6.97729159E-02
  585 9581  9.704398944637987E-03   5.52046950E-02
  586 9595  9.688872793399517E-03   7.45751990E-02
  587 9608  9.672577582949392E-03   1.49112367E-01
  588 9618  9.661130601854133E-03   3.90960020E-01
  589 9654  9.556218668962346E-03   2.58352102E-01
  590 9665  9.538781724795713E-03   4.73991418E-01
  591 9691  9.451641453087247E-03   2.58334508E-01
  592 9703  9.431802090397678E-03   6.13570927E-01
  593 9722  9.389636778264319E-03   8.50239170E-02
  594 9741  9.363565859241984E-03   5.09622790E-01
  595 9751  9.350058454578539E-03   4.10588793E-01
  596 9760  9.338493097033764E-03   5.11013003E-02
  597 9798  9.241205232568949E-03   2.85030370E-01
  598 9809  9.225223888168406E-03   1.50797067E-01
  599 9826  9.190102165912909E-03   2.05038058E-01
  600 9845  9.162284465719182E-03   4.43576862E-01
  601 9864  9.133871820342754E-03   4.63604916E-02
  602 9867  9.132642109478546E-03   9.94218830E-02
  603 9902  9.065592552806753E-03   5.58826967E-01
  604 9913  9.053230641141630E-03   3.40107736E-01
  605 9930  9.016273803801718E-03   5.56683356E-02
  606 9955  8.979986623136422E-03   2.13521175E-01
  607 9974  8.953299354005692E-03   8.28642984E-01
  608 9990  8.930707861513957E-03   1.87271740E-02
  609 10000  8.919985413499405E-03   9.47505720E-02
  609 10000  8.919985413499405E-03   9.47505720E-02
tnc: Maximum number of function evaluations reached
##### 
 Training Time = 926.7604313 


============================= JOB FEEDBACK =============================

NodeName=uc2n487
Job ID: 25275007
Cluster: uc2
User/Group: ul_wno19/ul_student
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 10
CPU Utilized: 00:15:31
CPU Efficiency: 9.59% of 02:41:50 core-walltime
Job Wall-clock time: 00:16:11
Memory Utilized: 779.07 MB
Memory Efficiency: 4.76% of 16.00 GB
